iter	Passed	Remaining
0	73	29145
1	87	17408
2	104	13797
3	119	11803
4	133	10536
5	147	9678
6	162	9147
7	179	8783
8	198	8627
9	217	8493
10	236	8370
11	256	8279
12	276	8223
13	300	8298
14	323	8311
15	347	8336
16	369	8333
17	393	8345
18	418	8396
19	441	8387
20	463	8362
21	484	8332
22	517	8484
23	539	8447
24	597	8958
25	621	8941
26	644	8901
27	665	8843
28	685	8764
29	705	8701
30	729	8679
31	764	8793
32	810	9014
33	872	9390
34	919	9585
35	947	9580
36	967	9489
37	987	9405
38	1003	9287
39	1021	9194
40	1039	9098
41	1056	9007
42	1076	8935
43	1098	8883
44	1121	8844
45	1142	8789
46	1164	8745
47	1189	8723
48	1209	8660
49	1227	8593
50	1247	8537
51	1267	8484
52	1287	8426
53	1307	8379
54	1327	8328
55	1348	8281
56	1370	8249
57	1395	8229
58	1414	8177
59	1436	8138
60	1458	8104
61	1479	8064
62	1499	8021
63	1518	7973
64	1536	7918
65	1556	7874
66	1578	7844
67	1599	7808
68	1620	7772
69	1642	7745
70	1663	7709
71	1684	7673
72	1706	7642
73	1727	7609
74	1748	7575
75	1770	7548
76	1796	7534
77	1818	7506
78	1843	7489
79	1864	7457
80	1888	7435
81	1910	7410
82	1930	7373
83	1947	7328
84	1968	7296
85	1988	7260
86	2010	7232
87	2031	7203
88	2049	7162
89	2068	7123
90	2086	7084
91	2102	7039
92	2123	7009
93	2139	6964
94	2156	6922
95	2172	6881
96	2192	6848
97	2215	6827
98	2237	6803
99	2256	6769
100	2272	6728
101	2291	6695
102	2308	6657
103	2325	6618
104	2346	6591
105	2364	6558
106	2382	6522
107	2400	6489
108	2418	6456
109	2435	6419
110	2451	6383
111	2467	6345
112	2488	6319
113	2504	6283
114	2523	6252
115	2540	6220
116	2557	6186
117	2579	6163
118	2601	6142
119	2622	6118
120	2642	6093
121	2664	6072
122	2688	6054
123	2709	6029
124	2729	6004
125	2751	5983
126	2772	5959
127	2792	5934
128	2813	5910
129	2835	5889
130	2857	5866
131	2875	5837
132	2891	5805
133	2912	5781
134	2933	5758
135	2952	5732
136	2975	5712
137	2996	5689
138	3016	5663
139	3036	5639
140	3054	5610
141	3070	5579
142	3086	5547
143	3102	5515
144	3119	5485
145	3138	5459
146	3155	5431
147	3173	5402
148	3190	5374
149	3208	5347
150	3224	5317
151	3243	5291
152	3259	5262
153	3275	5231
154	3293	5206
155	3309	5176
156	3331	5156
157	3350	5132
158	3372	5111
159	3389	5083
160	3408	5059
161	3425	5032
162	3441	5003
163	3459	4978
164	3478	4954
165	3497	4930
166	3514	4903
167	3529	4874
168	3545	4846
169	3565	4823
170	3585	4802
171	3607	4781
172	3628	4760
173	3648	4739
174	3670	4718
175	3689	4695
176	3711	4675
177	3730	4652
178	3751	4632
179	3775	4614
180	3797	4594
181	3822	4578
182	3847	4562
183	3871	4544
184	3889	4520
185	3909	4497
186	3933	4480
187	3955	4460
188	3982	4446
189	4006	4428
190	4029	4409
191	4053	4391
192	4088	4384
193	4119	4374
194	4147	4359
195	4175	4345
196	4197	4325
197	4220	4305
198	4246	4289
199	4279	4279
200	4344	4301
201	4368	4282
202	4388	4259
203	4413	4240
204	4450	4233
205	4485	4224
206	4506	4201
207	4528	4179
208	4549	4157
209	4570	4135
210	4591	4112
211	4622	4099
212	4644	4077
213	4665	4055
214	4687	4033
215	4708	4010
216	4733	3991
217	4758	3972
218	4781	3951
219	4806	3932
220	4831	3912
221	4851	3890
222	4875	3869
223	4898	3848
224	4919	3826
225	4942	3805
226	4966	3785
227	4995	3768
228	5022	3750
229	5067	3745
230	5106	3735
231	5203	3768
232	5278	3783
233	5345	3792
234	5445	3823
235	5501	3823
236	5532	3804
237	5569	3790
238	5599	3772
239	5640	3760
240	5685	3751
241	5729	3740
242	5791	3742
243	5848	3739
244	5906	3736
245	5969	3736
246	6007	3721
247	6061	3715
248	6084	3690
249	6106	3663
250	6126	3636
251	6146	3609
252	6165	3582
253	6184	3554
254	6203	3527
255	6222	3500
256	6242	3473
257	6261	3446
258	6281	3419
259	6301	3392
260	6321	3366
261	6341	3340
262	6358	3312
263	6377	3285
264	6397	3258
265	6415	3232
266	6435	3205
267	6458	3181
268	6481	3156
269	6503	3131
270	6522	3104
271	6542	3078
272	6565	3054
273	6585	3028
274	6606	3002
275	6628	2978
276	6650	2953
277	6671	2927
278	6689	2901
279	6708	2875
280	6728	2849
281	6749	2824
282	6772	2800
283	6793	2774
284	6814	2749
285	6835	2724
286	6855	2699
287	6874	2673
288	6891	2646
289	6907	2620
290	6924	2593
291	6942	2567
292	6959	2541
293	6979	2516
294	6996	2490
295	7013	2464
296	7029	2437
297	7047	2412
298	7064	2386
299	7078	2359
300	7095	2333
301	7112	2308
302	7130	2282
303	7147	2257
304	7163	2231
305	7180	2205
306	7197	2180
307	7214	2155
308	7231	2129
309	7243	2103
310	7260	2077
311	7277	2052
312	7291	2026
313	7304	2000
314	7317	1974
315	7335	1949
316	7351	1924
317	7367	1899
318	7387	1875
319	7400	1850
320	7416	1825
321	7428	1799
322	7441	1774
323	7453	1748
324	7466	1723
325	7478	1697
