model_name,family,imbalance_strategy,type,default_threshold,best_f1_threshold,best_cost_threshold,minimum_business_cost,default_accuracy,default_precision,default_recall,default_f1_score,default_roc_auc,default_pr_auc,default_true_negatives,default_false_positives,default_false_negatives,default_true_positives,best_f1_accuracy,best_f1_precision,best_f1_recall,best_f1_f1_score,best_f1_roc_auc,best_f1_pr_auc,best_f1_true_negatives,best_f1_false_positives,best_f1_false_negatives,best_f1_true_positives,best_cost_accuracy,best_cost_precision,best_cost_recall,best_cost_f1_score,best_cost_roc_auc,best_cost_pr_auc,best_cost_true_negatives,best_cost_false_positives,best_cost_false_negatives,best_cost_true_positives
lightgbm_balanced,boosting,class_weight_balanced,supervised,0.5,0.51,0.02,76400,0.9994952709078541,0.9117647058823529,0.7848101265822784,0.8435374149659864,0.9673446104443597,0.8274652190969841,45484,6,17,62,0.9995172156509908,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.9673446104443597,0.8274652190969841,45485,5,17,62,0.9993636024490333,0.8205128205128205,0.810126582278481,0.8152866242038217,0.9673446104443597,0.8274652190969841,45476,14,15,64
xgboost_weighted,boosting,scale_pos_weight,supervised,0.5,0.85,0.02,72500,0.9994074919353069,0.8513513513513513,0.7974683544303798,0.8235294117647058,0.9739750842444159,0.8229868027832096,45479,11,16,63,0.9995391603941276,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.9739750842444159,0.8229868027832096,45486,4,17,62,0.9980688626039632,0.46808510638297873,0.8354430379746836,0.6,0.9739750842444159,0.8229868027832096,45415,75,13,66
smote_lightgbm,resampling_pipeline,smote,supervised,0.5,0.5,0.11,63500,0.9995172156509908,0.8904109589041096,0.8227848101265823,0.8552631578947368,0.9723285963530724,0.8185758823072202,45482,8,14,65,0.9995172156509908,0.8904109589041096,0.8227848101265823,0.8552631578947368,0.9723285963530724,0.8185758823072202,45482,8,14,65,0.9989685970725712,0.6568627450980392,0.8481012658227848,0.7403314917127072,0.9723285963530724,0.8185758823072202,45455,35,12,67
smote_tomek_lightgbm,resampling_pipeline,smote_tomek,supervised,0.5,0.5,0.11,63500,0.9995172156509908,0.8904109589041096,0.8227848101265823,0.8552631578947368,0.9723285963530724,0.8185758823072202,45482,8,14,65,0.9995172156509908,0.8904109589041096,0.8227848101265823,0.8552631578947368,0.9723285963530724,0.8185758823072202,45482,8,14,65,0.9989685970725712,0.6568627450980392,0.8481012658227848,0.7403314917127072,0.9723285963530724,0.8185758823072202,45455,35,12,67
mlp_classifier,neural_network,none_baseline,supervised,0.5,0.2,0.02,71500,0.9993197129627598,0.8636363636363636,0.7215189873417721,0.7862068965517242,0.9588864989105964,0.8071885431158684,45481,9,22,57,0.9993636024490333,0.8205128205128205,0.810126582278481,0.8152866242038217,0.9588864989105964,0.8071885431158684,45476,14,15,64,0.9972130176216287,0.36813186813186816,0.8481012658227848,0.5134099616858238,0.9588864989105964,0.8071885431158684,45375,115,12,67
extra_trees_balanced,ensemble,class_weight_balanced,supervised,0.5,0.5800000000000001,0.44,73800,0.9993636024490333,0.8205128205128205,0.810126582278481,0.8152866242038217,0.9690217073720473,0.8065489605682006,45476,14,15,64,0.9994733261647173,0.9104477611940298,0.7721518987341772,0.8356164383561644,0.9690217073720473,0.8065489605682006,45484,6,18,61,0.9988588733568874,0.6310679611650486,0.8227848101265823,0.7142857142857143,0.9690217073720473,0.8065489605682006,45452,38,14,65
smote_extra_trees,resampling_pipeline,smote,supervised,0.5,0.7100000000000001,0.51,74000,0.9986833154117931,0.5855855855855856,0.8227848101265823,0.6842105263157895,0.9673345929415562,0.801613182198768,45444,46,14,65,0.9994513814215804,0.921875,0.7468354430379747,0.8251748251748252,0.9673345929415562,0.801613182198768,45485,5,20,59,0.9988149838706138,0.6190476190476191,0.8227848101265823,0.7065217391304348,0.9673345929415562,0.801613182198768,45450,40,14,65
smote_tomek_extra_trees,resampling_pipeline,smote_tomek,supervised,0.5,0.7100000000000001,0.51,74000,0.9986833154117931,0.5855855855855856,0.8227848101265823,0.6842105263157895,0.9673345929415562,0.801613182198768,45444,46,14,65,0.9994513814215804,0.921875,0.7468354430379747,0.8251748251748252,0.9673345929415562,0.801613182198768,45485,5,20,59,0.9988149838706138,0.6190476190476191,0.8227848101265823,0.7065217391304348,0.9673345929415562,0.801613182198768,45450,40,14,65
smote_xgboost,resampling_pipeline,smote,supervised,0.5,0.9500000000000001,0.41000000000000003,78600,0.9981566415765103,0.48120300751879697,0.810126582278481,0.6037735849056604,0.9660835181469846,0.7936024167692682,45421,69,15,64,0.9994733261647173,0.9104477611940298,0.7721518987341772,0.8356164383561644,0.9660835181469846,0.7936024167692682,45484,6,18,61,0.9978055256863219,0.4304635761589404,0.8227848101265823,0.5652173913043478,0.9660835181469846,0.7936024167692682,45404,86,14,65
smote_tomek_xgboost,resampling_pipeline,smote_tomek,supervised,0.5,0.9500000000000001,0.41000000000000003,78600,0.9981566415765103,0.48120300751879697,0.810126582278481,0.6037735849056604,0.9660835181469846,0.7936024167692682,45421,69,15,64,0.9994733261647173,0.9104477611940298,0.7721518987341772,0.8356164383561644,0.9660835181469846,0.7936024167692682,45484,6,18,61,0.9978055256863219,0.4304635761589404,0.8227848101265823,0.5652173913043478,0.9660835181469846,0.7936024167692682,45404,86,14,65
random_forest_balanced,ensemble,class_weight_balanced,supervised,0.5,0.53,0.16,71800,0.9994074919353069,0.8611111111111112,0.7848101265822784,0.8211920529801324,0.9660271696937148,0.7848148737272177,45480,10,17,62,0.9994294366784436,0.8732394366197183,0.7848101265822784,0.8266666666666667,0.9660271696937148,0.7848148737272177,45481,9,17,62,0.9971471833922184,0.3621621621621622,0.8481012658227848,0.5075757575757576,0.9660271696937148,0.7848148737272177,45372,118,12,67
catboost_balanced,boosting,auto_class_weights_balanced,supervised,0.5,0.9500000000000001,0.33,76800,0.9993416577058966,0.8181818181818182,0.7974683544303798,0.8076923076923077,0.9662440764558076,0.784602663867356,45476,14,16,63,0.9994733261647173,0.9104477611940298,0.7721518987341772,0.8356164383561644,0.9662440764558076,0.784602663867356,45484,6,18,61,0.9992758234764862,0.7804878048780488,0.810126582278481,0.7950310559006211,0.9662440764558076,0.784602663867356,45472,18,15,64
smote_random_forest,resampling_pipeline,smote,supervised,0.5,0.67,0.28,81700,0.9988588733568874,0.6363636363636364,0.7974683544303798,0.7078651685393258,0.9778446229662382,0.7650832904540955,45454,36,16,63,0.9993636024490333,0.8676470588235294,0.7468354430379747,0.8027210884353742,0.9778446229662382,0.7650832904540955,45481,9,20,59,0.9960499462353793,0.2832618025751073,0.8354430379746836,0.4230769230769231,0.9778446229662382,0.7650832904540955,45323,167,13,66
smote_tomek_random_forest,resampling_pipeline,smote_tomek,supervised,0.5,0.67,0.28,81700,0.9988588733568874,0.6363636363636364,0.7974683544303798,0.7078651685393258,0.9778446229662382,0.7650832904540955,45454,36,16,63,0.9993636024490333,0.8676470588235294,0.7468354430379747,0.8027210884353742,0.9778446229662382,0.7650832904540955,45481,9,20,59,0.9960499462353793,0.2832618025751073,0.8354430379746836,0.4230769230769231,0.9778446229662382,0.7650832904540955,45323,167,13,66
knn_distance_weighted,neighbors,distance_weighting,supervised,0.5,0.18000000000000002,0.18000000000000002,86100,0.999297768219623,0.8852459016393442,0.6835443037974683,0.7714285714285715,0.8922496528657015,0.7415397099678025,45483,7,25,54,0.9993855471921701,0.8493150684931506,0.7848101265822784,0.8157894736842105,0.8922496528657015,0.7415397099678025,45479,11,17,62,0.9993855471921701,0.8493150684931506,0.7848101265822784,0.8157894736842105,0.8922496528657015,0.7415397099678025,45479,11,17,62
balanced_random_forest,imbalance_ensemble,balanced_bootstrap,supervised,0.5,0.8300000000000001,0.75,73800,0.9887642915139678,0.11816578483245149,0.8481012658227848,0.20743034055727555,0.9728865156064346,0.7376939087791746,44990,500,12,67,0.9993416577058966,0.810126582278481,0.810126582278481,0.810126582278481,0.9728865156064346,0.7376939087791746,45475,15,15,64,0.9988588733568874,0.6310679611650486,0.8227848101265823,0.7142857142857143,0.9728865156064346,0.7376939087791746,45452,38,14,65
linear_discriminant_analysis,discriminant_analysis,none,supervised,0.5,0.01,0.01,110700,0.9993636024490333,0.890625,0.7215189873417721,0.7972027972027972,0.972256665117664,0.7248001069044697,45483,7,22,57,0.9993636024490333,0.890625,0.7215189873417721,0.7972027972027972,0.972256665117664,0.7248001069044697,45483,7,22,57,0.9993636024490333,0.890625,0.7215189873417721,0.7972027972027972,0.972256665117664,0.7248001069044697,45483,7,22,57
passive_aggressive_balanced,linear,class_weight_balanced,supervised,0.5,0.36000000000000004,0.22,93500,0.9986833154117931,0.8064516129032258,0.31645569620253167,0.45454545454545453,0.9369887943100583,0.7060740318994954,45484,6,54,25,0.9993636024490333,0.8787878787878788,0.7341772151898734,0.8,0.9369887943100583,0.7060740318994954,45482,8,21,58,0.9988369286137506,0.6354166666666666,0.7721518987341772,0.6971428571428572,0.9369887943100583,0.7060740318994954,45455,35,18,61
random_undersampling_random_forest,resampling_pipeline,random_undersampling,supervised,0.5,0.91,0.8200000000000001,74400,0.9689701332045908,0.04745762711864407,0.8860759493670886,0.09009009009009009,0.9730011603607414,0.7021351396254241,44085,1405,9,70,0.9993636024490333,0.8676470588235294,0.7468354430379747,0.8027210884353742,0.9730011603607414,0.7021351396254241,45481,9,20,59,0.9987272048980667,0.5963302752293578,0.8227848101265823,0.6914893617021277,0.9730011603607414,0.7021351396254241,45446,44,14,65
random_undersampling_extra_trees,resampling_pipeline,random_undersampling,supervised,0.5,0.88,0.74,74100,0.9828172661239,0.08095238095238096,0.8607594936708861,0.14798694232861806,0.9743574189347499,0.6933537799388223,44718,772,11,68,0.9993636024490333,0.8676470588235294,0.7468354430379747,0.8027210884353742,0.9743574189347499,0.6933537799388223,45481,9,20,59,0.998793039127477,0.6132075471698113,0.8227848101265823,0.7027027027027027,0.9743574189347499,0.6933537799388223,45449,41,14,65
easy_ensemble,imbalance_ensemble,under_sampling_ensemble,supervised,0.5,0.67,0.5800000000000001,81100,0.9687067962869494,0.04768300873069174,0.8987341772151899,0.09056122448979592,0.9758480790047055,0.6924139544208398,44072,1418,8,71,0.9992319339902126,0.84375,0.6835443037974683,0.7552447552447552,0.9758480790047055,0.6924139544208398,45480,10,25,54,0.9951063222804977,0.24100719424460432,0.8481012658227848,0.3753501400560224,0.9758480790047055,0.6924139544208398,45279,211,12,67
