model_name,imbalance_strategy,mlflow_flavor,accuracy,precision,recall,f1_score,roc_auc,pr_auc,true_negatives,false_positives,false_negatives,true_positives
lightgbm_balanced,class_weight_balanced,lightgbm,0.9994294366784436,0.8732394366197183,0.7848101265822784,0.8266666666666667,0.9682715077176512,0.8175911289849792,45481,9,17,62
xgboost_weighted,scale_pos_weight,xgboost,0.9993197129627598,0.8076923076923077,0.7974683544303798,0.802547770700637,0.9728547935142234,0.8102047566047155,45475,15,16,63
extra_trees_balanced,class_weight_balanced,sklearn,0.9993636024490333,0.8205128205128205,0.810126582278481,0.8152866242038217,0.9690217073720473,0.8065489605682006,45476,14,15,64
random_forest_balanced,class_weight_balanced,sklearn,0.9994074919353069,0.8611111111111112,0.7848101265822784,0.8211920529801324,0.9660271696937148,0.7848148737272177,45480,10,17,62
logistic_regression_balanced,class_weight_balanced,sklearn,0.9746099321907437,0.05747126436781609,0.8860759493670886,0.1079414032382421,0.9764123983293032,0.6815098975219482,44342,1148,9,70
adaboost,none_baseline,sklearn,0.9989466523294345,0.8444444444444444,0.4810126582278481,0.6129032258064516,0.9759311407987845,0.6519626388507528,45483,7,41,38
gradient_boosting,none_baseline,sklearn,0.999188044503939,0.8181818181818182,0.6835443037974683,0.7448275862068966,0.952785700571276,0.6209474639477686,45478,12,25,54
decision_tree_balanced,class_weight_balanced,sklearn,0.9939213061511115,0.190625,0.7721518987341772,0.3057644110275689,0.8128374298426974,0.47748584091238727,45231,259,18,61
hist_gradient_boosting,none_baseline,sklearn,0.9985735916961092,0.5921052631578947,0.569620253164557,0.5806451612903226,0.7549103850895036,0.4713639642318426,45459,31,34,45
gaussian_naive_bayes,none,sklearn,0.9779894226338081,0.060836501901140684,0.810126582278481,0.11317418213969938,0.947346057416987,0.08375535277469473,44502,988,15,64
dummy_most_frequent,none,sklearn,0.9982663652921943,0.0,0.0,0.0,0.5,0.0017336347078057452,45490,0,79,0
